Username,Messages,Percentage,Yaps Per Minute
Premed Idiot,114,12.0,0.51
Oserk,89,9.4,0.4
Maxed Lonely,85,9.0,0.38
ChemistHajo,58,6.1,0.26
Corvidastir,56,5.9,0.25
Closofy,56,5.9,0.25
IM Kuriso,40,4.2,0.18
milbv,39,4.1,0.17
Sporkbugg,34,3.6,0.15
Aesi,31,3.3,0.14
Llama_Eve,29,3.1,0.13
Narkina Five,26,2.7,0.12
Iron XPLimit,19,2.0,0.09
GIM Raptoid,18,1.9,0.08
OnlyZoooom,14,1.5,0.06
minibald,13,1.4,0.06
Bitcoim,12,1.3,0.05
Me pie,12,1.3,0.05
Crabimov,10,1.1,0.04
Ala_chicken,10,1.1,0.04
El Dad Bod,9,0.9,0.04
thughunters,9,0.9,0.04
RunecraftFe,9,0.9,0.04
GlM Fox,8,0.8,0.04
Holytalon67,7,0.7,0.03
Nico Iron,6,0.6,0.03
Dereks FE,6,0.6,0.03
IronCreatine,6,0.6,0.03
LpLp,6,0.6,0.03
ImDaddyLokar,6,0.6,0.03
I_e wis,6,0.6,0.03
Kristov X,5,0.5,0.02
Juicy XPs,5,0.5,0.02
Sirenic Fox,5,0.5,0.02
Iron Toms,5,0.5,0.02
Zlyphs,5,0.5,0.02
TorjeA,4,0.4,0.02
First Nox,4,0.4,0.02
SplashOnRat,4,0.4,0.02
KevinskiIM,4,0.4,0.02
Eventphil,3,0.3,0.01
wdaw,3,0.3,0.01
Oysx,3,0.3,0.01
ReeYouAhShee,3,0.3,0.01
GIMtheONE,3,0.3,0.01
Iron Sorcom,3,0.3,0.01
lvl-1O3,2,0.2,0.01
Sir Eggson,2,0.2,0.01
Awful Mild,2,0.2,0.01
Kingdra Sr,2,0.2,0.01
Keeltyfus,2,0.2,0.01
LostMyJob2RS,2,0.2,0.01
8oon,2,0.2,0.01
Druf,2,0.2,0.01
Datuk,2,0.2,0.01
Godson,2,0.2,0.01
A be,2,0.2,0.01
Noticer,2,0.2,0.01
Buttery Nutz,1,0.1,0.0
UltSurrender,1,0.1,0.0
The Fenyx,1,0.1,0.0
Maikhol,1,0.1,0.0
Hamjointhawk,1,0.1,0.0
Zoooom,1,0.1,0.0
DazeFE,1,0.1,0.0
IronCaruso,1,0.1,0.0
FE Bristles,1,0.1,0.0
Missey x,1,0.1,0.0
Bent Lowfa,1,0.1,0.0
Clipzie,1,0.1,0.0
DzTok-Nuts,1,0.1,0.0
MacLog,1,0.1,0.0
Iron tribore,1,0.1,0.0
me a sloth,1,0.1,0.0
Tiny Penith,1,0.1,0.0
Needletick,1,0.1,0.0
Havtind,1,0.1,0.0
BD Kraggor,1,0.1,0.0
IronQunii,1,0.1,0.0
IM Pandarino,1,0.1,0.0
Lord Cushion,1,0.1,0.0
